"id","program","age","cog"
"1",1,1,"1",106.982893873273
"104",1,1,"1.5",98.3105975332551
"207",1,1,"2",92.9134234965554
"2",2,1,"1",108.860194548652
"105",2,1,"1.5",100.293073906911
"208",2,1,"2",85.295023795261
"3",3,1,"1",112.524379771127
"106",3,1,"1.5",96.766843176569
"209",3,1,"2",83.4264892392275
"4",4,1,"1",90.2442825298597
"107",4,1,"1.5",85.2738008851011
"210",4,1,"2",76.4105158838481
"5",5,1,"1",105.707383654988
"108",5,1,"1.5",102.398388916359
"211",5,1,"2",88.7887207179299
"6",6,1,"1",93.8898672983503
"109",6,1,"1.5",85.0960060636724
"212",6,1,"2",76.6620885901345
"7",7,1,"1",109.93898740907
"110",7,1,"1.5",109.432016405532
"213",7,1,"2",86.685729671066
"8",8,1,"1",106.985985867166
"111",8,1,"1.5",106.097353876641
"214",8,1,"2",105.920555640636
"9",9,1,"1",125.33165641572
"112",9,1,"1.5",114.012765810629
"215",9,1,"2",105.121625863147
"10",10,1,"1",82.4902843240934
"113",10,1,"1.5",97.7604281561819
"216",10,1,"2",100.776532778071
"11",11,1,"1",105.22740295594
"114",11,1,"1.5",113.775578375776
"217",11,1,"2",108.489783962454
"12",12,1,"1",114.492397499476
"115",12,1,"1.5",117.93460347917
"218",12,1,"2",122.028607842766
"13",13,1,"1",91.7343535977944
"116",13,1,"1.5",86.6065486635389
"219",13,1,"2",82.1811724558941
"14",14,1,"1",95.3783932088825
"117",14,1,"1.5",79.5672989294313
"220",14,1,"2",82.4979921529529
"15",15,1,"1",110.07344924383
"118",15,1,"1.5",108.652715487013
"221",15,1,"2",87.6504464836955
"16",16,1,"1",98.0193345243121
"119",16,1,"1.5",94.5415377360754
"222",16,1,"2",76.0702442593591
"17",17,1,"1",87.969314011418
"120",17,1,"1.5",87.2519488915564
"223",17,1,"2",98.9817677707509
"18",18,1,"1",108.319174663623
"121",18,1,"1.5",100.515744719941
"224",18,1,"2",98.7003664135424
"19",19,1,"1",94.189158585173
"122",19,1,"1.5",74.642641949395
"225",19,1,"2",73.3147019864209
"20",20,1,"1",120.16252836049
"123",20,1,"1.5",103.187179488901
"226",20,1,"2",90.9273832099916
"21",21,1,"1",131.651780547841
"124",21,1,"1.5",114.161351583683
"227",21,1,"2",95.5895370468073
"22",22,1,"1",120.856081875486
"125",22,1,"1.5",98.1828829814709
"228",22,1,"2",96.4481571572137
"23",23,1,"1",116.026885411953
"126",23,1,"1.5",114.823642799824
"229",23,1,"2",109.355955267511
"24",24,1,"1",108.509248599424
"127",24,1,"1.5",90.6741048797562
"230",24,1,"2",95.339889060608
"25",25,1,"1",112.126334497964
"128",25,1,"1.5",116.821078820593
"231",25,1,"2",116.594431394134
"26",26,1,"1",80.8336404034439
"129",26,1,"1.5",99.37240015457
"232",26,1,"2",84.5089534812323
"27",27,1,"1",87.4283091833688
"130",27,1,"1.5",91.9221326333563
"233",27,1,"2",93.2321184337028
"28",28,1,"1",112.408766231029
"131",28,1,"1.5",91.4139999176314
"234",28,1,"2",103.474146402844
"29",29,1,"1",123.160092484234
"132",29,1,"1.5",117.85459687153
"235",29,1,"2",114.919983917142
"30",30,1,"1",91.5041715871649
"133",30,1,"1.5",100.180227883607
"236",30,1,"2",77.0715879989263
"31",31,1,"1",98.8185387137555
"134",31,1,"1.5",92.7303529049428
"237",31,1,"2",107.114043586746
"32",32,1,"1",102.578297149186
"135",32,1,"1.5",120.279054269397
"238",32,1,"2",98.3158158638609
"33",33,1,"1",92.7161210405071
"136",33,1,"1.5",113.937887907931
"239",33,1,"2",79.2429599957411
"34",34,1,"1",113.133195533955
"137",34,1,"1.5",100.720773089403
"240",34,1,"2",103.265287491478
"35",35,1,"1",83.3628712340495
"138",35,1,"1.5",83.3636096107807
"241",35,1,"2",79.0235224687184
"36",36,1,"1",94.9103140838653
"139",36,1,"1.5",85.7221833333411
"242",36,1,"2",78.1609243850985
"37",37,1,"1",99.2000364471704
"140",37,1,"1.5",108.889091239745
"243",37,1,"2",105.203914322774
"38",38,1,"1",109.009452576535
